Respondent_Serial,brand,OSAT,Has a wide variety of menu options,Offers healthy/better-for-you menu options,Has a wide range of ingredients,Portions are the right size for my appetite,Is worth the price,Is a good value for the money,Has enticing promotional offers,Ordering is simple and easy,Integrates technology into its ordering process,Restaurant is clean,Ingredients are fresh,Offers good quality meats,Offers good quality veggies and toppings,Uses freshly baked bread,State,sales,Total subs sold in a year,Payment Used,Wait Time
212,Jersey Mikes,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Mississippi,9627.476529,577801.6408,Samsung Pay,12
212,Jimmy Johns,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Missouri,513.9955673,711208.6735,Google Pay,5
222,Jersey Mikes,4,5,5,5,5,5,4,4,5,5,6,5,6,5,5,New Jersey,3661.574088,466784.6071,Samsung Pay,14
225,Panera,7,5,5,7,5,5,6,6,6,7,6,6,7,6,7,North Carolina,6189.697281,964427.5315,Cash,15
230,Firehouse Subs,4,6,5,6,6,5,5,3,5,5,5,6,6,6,6,Oklahoma,9623.973985,983568.547,Samsung Pay,11
230,Jimmy Johns,5,6,5,6,6,5,5,4,5,5,6,6,6,6,6,Oregon,2075.157797,212787.7853,Debit Card,14
239,Subway,4,4,3,3,4,3,4,4,6,3,4,6,4,7,6,South Carolina,1755.530585,326500.0519,Cash,12
239,Firehouse Subs,7,5,7,4,7,6,7,4,7,6,7,7,7,6,7,South Dakota,7062.256045,750917.9936,Credit Card,5
269,Firehouse Subs,6,7,7,6,6,7,7,7,6,6,6,6,6,6,7,West Virginia,3433.139751,780458.0974,Apple Pay,10
269,Jimmy Johns,6,6,5,5,6,7,6,6,7,5,6,7,6,6,7,Wisconsin,4362.427464,66105.54476,Apple Pay,11
278,Jersey Mikes,7,7,7,6,4,6,7,7,7,6,6,4,7,6,6,California,1133.434297,446100.9132,Samsung Pay,7
293,Jimmy Johns,5,7,7,6,6,7,5,5,5,7,6,4,5,5,7,Delaware,5458.561163,895933.1923,Samsung Pay,11
293,McDonalds,7,6,7,7,7,6,7,7,7,7,7,7,7,7,7,Florida,501.7630383,58660.35352,Google Pay,9
296,Panera,5,5,4,5,5,5,6,5,5,5,5,5,5,5,5,Hawaii,1638.591301,635749.6159,Debit Card,14
309,Chipotle,5,4,5,5,5,5,5,4,5,4,5,5,6,5,4,Idaho,7154.154799,984805.9344,Apple Pay,12
309,Firehouse Subs,5,5,4,4,5,5,5,3,5,4,5,5,6,5,5,Illinois,2718.518907,27556.4305,Debit Card,6
327,Jimmy Johns,4,5,6,6,5,5,5,5,5,6,5,6,6,6,6,Kansas,3062.891153,202349.3584,Cash,14
327,Panera,6,5,6,5,5,5,6,6,5,6,5,6,5,5,5,Kentucky,6469.28477,707589.6602,Cash,8
330,Chipotle,6,5,7,6,6,6,5,7,5,5,7,7,5,6,5,Louisiana,135.4725523,531235.6217,Credit Card,11
330,Jimmy Johns,6,7,5,5,6,6,6,7,6,5,6,6,6,6,6,Maine,875.6155634,704063.6782,Cash,9
343,Chipotle,3,3,4,3,5,3,3,3,5,3,3,3,5,1,5,Michigan,7134.286381,339282.7446,Google Pay,12
344,McDonalds,7,6,6,6,6,6,7,6,6,6,6,6,6,6,6,Missouri,4040.133196,400815.1025,Cash,11
347,Jersey Mikes,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,Montana,7182.833369,813544.612,Google Pay,13
347,Jimmy Johns,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Nebraska,9770.035647,847101.0337,Apple Pay,10
349,Firehouse Subs,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,New Hampshire,4674.651532,526103.6956,Debit Card,13
358,Jimmy Johns,4,5,6,5,7,5,5,4,6,6,5,6,6,6,6,New Jersey,9836.144966,637734.0438,Debit Card,8
358,Panera,6,5,6,7,7,6,5,3,7,7,6,6,6,7,6,New Mexico,9855.645862,463447.884,Apple Pay,14
380,Jersey Mikes,5,5,6,2,6,3,6,5,5,7,4,4,3,6,7,South Dakota,9514.036225,325299.8435,Credit Card,11
388,Firehouse Subs,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,Tennessee,905.0217983,407671.9654,Debit Card,6
388,Jimmy Johns,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Texas,8665.140087,359614.7013,Credit Card,13
391,Panera,7,7,7,6,7,7,6,6,7,7,7,7,7,7,7,Washington,9996.993024,840525.1112,Apple Pay,11
397,Panera,5,5,5,6,5,6,5,5,6,6,6,6,5,6,7,Wisconsin,3304.063823,664836.5059,Credit Card,7
412,Firehouse Subs,5,6,6,6,6,5,5,5,6,6,7,6,6,6,7,Wyoming,3642.924601,237634.1756,Samsung Pay,5
412,Panera,6,7,6,7,6,5,6,6,7,6,6,6,7,7,6,Alabama,2203.702036,530465.672,Debit Card,8
417,Firehouse Subs,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Alaska,9054.647001,231312.6819,Samsung Pay,15
417,McDonalds,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Arizona,9906.577508,78067.50856,Samsung Pay,12
418,McDonalds,4,5,3,5,5,5,5,5,5,5,5,4,5,4,4,California,205.2716971,65857.77984,Samsung Pay,7
435,Jersey Mikes,4,4,3,4,4,3,4,3,3,3,3,4,3,4,4,Delaware,4876.286238,250671.5698,Credit Card,12
435,Jimmy Johns,4,3,4,3,3,3,3,3,3,3,3,3,3,3,2,Florida,5546.761201,210376.833,Apple Pay,8
449,Chipotle,6,5,5,5,7,6,7,6,7,5,5,7,4,7,7,Indiana,6562.296146,741105.4385,Credit Card,5
449,Firehouse Subs,5,6,6,6,7,5,7,5,5,6,5,5,6,5,6,Iowa,6503.125901,434201.4732,Apple Pay,15
459,Subway,7,7,6,7,7,7,7,7,7,7,6,6,7,7,6,Louisiana,5485.536895,875875.1925,Credit Card,6
459,McDonalds,7,7,6,7,7,7,6,7,7,7,6,7,6,7,7,Maine,4718.437849,557145.6821,Debit Card,9
479,Firehouse Subs,4,4,4,1,4,5,4,5,4,3,4,3,5,4,4,Mississippi,3663.434479,549981.1282,Apple Pay,11
497,Subway,4,1,2,3,2,1,4,1,3,1,1,2,1,1,1,Nevada,8463.710855,251054.6185,Cash,12
503,Jersey Mikes,5,5,6,5,5,5,5,5,5,5,5,6,5,5,5,New Jersey,5403.625158,193060.7289,Credit Card,13
503,Panera,6,6,6,7,7,7,6,6,6,7,6,7,6,6,6,New Mexico,4722.501592,63686.07539,Apple Pay,15
510,Chipotle,4,4,4,5,5,5,4,4,4,5,5,4,5,5,5,North Carolina,8447.736789,768671.3448,Credit Card,14
512,Firehouse Subs,6,6,6,6,7,6,6,7,5,5,6,7,7,5,5,Ohio,9825.960665,61720.14785,Samsung Pay,12
512,Jersey Mikes,6,6,5,6,7,5,6,6,6,6,7,7,6,6,6,Oklahoma,592.4182183,721088.9525,Credit Card,12
516,Jimmy Johns,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,South Carolina,1262.283341,468786.546,Credit Card,9
527,Subway,6,4,4,5,5,4,4,3,5,4,3,5,5,5,4,South Dakota,7278.787603,373589.8563,Credit Card,7
527,McDonalds,4,4,1,3,3,3,3,4,4,4,2,3,3,2,3,Tennessee,3479.073918,219446.9764,Cash,11
544,Firehouse Subs,5,5,6,6,6,4,7,6,6,5,5,5,7,4,5,Vermont,4829.265592,74262.53362,Samsung Pay,6
544,Jimmy Johns,5,5,5,5,4,5,4,5,5,5,5,4,5,4,5,Virginia,6278.889711,411573.5616,Apple Pay,15
545,Subway,3,4,4,4,4,3,4,3,4,4,3,3,4,4,3,Washington,4535.246814,746800.1285,Credit Card,14
555,Chipotle,4,3,3,3,3,6,3,5,3,3,4,5,5,4,4,Wisconsin,7536.659434,405949.3671,Google Pay,9
555,Firehouse Subs,4,4,4,4,3,5,5,3,7,3,4,4,5,4,5,Wyoming,8692.846766,827627.3129,Debit Card,5
556,McDonalds,6,6,6,6,5,6,6,6,5,6,6,6,5,5,6,Alabama,6511.315406,405998.9851,Credit Card,8
556,Panera,6,6,6,6,6,5,5,6,4,6,6,7,6,6,7,Alaska,1600.147139,126703.3676,Cash,9
558,Subway,5,5,6,5,5,6,5,5,5,5,6,5,4,5,5,Arizona,3861.41164,969839.6672,Debit Card,14
558,McDonalds,4,3,2,3,4,3,2,4,4,4,4,3,3,3,1,Arkansas,2580.647743,907961.1221,Credit Card,14
566,Firehouse Subs,6,6,5,5,6,6,6,4,6,3,5,6,6,6,4,California,3695.788076,435002.6563,Samsung Pay,8
566,McDonalds,4,3,2,2,5,5,3,3,6,6,2,2,2,1,1,Colorado,5731.73801,727812.8049,Google Pay,15
571,Jimmy Johns,5,5,6,6,6,6,6,6,6,5,5,6,6,6,6,Florida,7961.169086,140901.6425,Debit Card,12
571,Panera,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,Georgia,2837.552553,422456.3038,Credit Card,6
577,Jimmy Johns,6,6,5,6,5,6,6,6,5,6,5,5,6,6,6,Hawaii,9331.816363,904910.9948,Google Pay,15
577,Panera,6,6,5,6,6,6,6,6,6,5,6,5,6,6,7,Idaho,531.4268326,703849.2245,Samsung Pay,5
580,Subway,4,5,4,5,3,4,4,4,4,2,6,5,4,4,5,Illinois,4067.690608,926138.9365,Samsung Pay,7
580,McDonalds,5,6,4,4,4,4,6,6,6,6,5,4,5,3,2,Indiana,6394.081826,491123.5315,Google Pay,6
584,Firehouse Subs,7,4,3,4,4,3,2,3,3,4,4,5,4,5,5,Kentucky,4014.460072,157305.3871,Apple Pay,5
584,McDonalds,5,2,2,2,2,5,1,5,1,5,3,3,2,3,2,Louisiana,6470.013617,622722.8045,Debit Card,14
600,Chipotle,2,5,5,5,4,2,2,3,4,6,4,5,5,5,4,Massachusetts,4865.603813,284424.5971,Cash,6
601,Firehouse Subs,4,5,5,6,5,5,5,5,2,4,7,6,5,4,7,Minnesota,2067.449339,434800.9663,Cash,10
601,Jersey Mikes,5,5,4,5,5,5,3,5,6,5,5,5,5,5,5,Mississippi,9889.057935,137661.0852,Samsung Pay,8
609,Subway,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,New Hampshire,3228.313701,44051.77177,Cash,6
609,McDonalds,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,New Jersey,3426.714801,996438.2691,Cash,13
613,Panera,6,6,7,7,7,4,7,5,4,6,5,5,6,7,5,Oklahoma,2351.785739,66408.10411,Debit Card,5
615,Subway,4,5,6,7,6,5,6,6,6,5,6,6,7,7,5,Oregon,4253.81994,816033.9713,Samsung Pay,6
615,Chipotle,3,5,5,5,4,5,3,4,4,4,5,7,6,4,6,Pennsylvania,747.2147185,501591.3318,Credit Card,5
620,McDonalds,5,4,3,5,6,6,6,6,7,5,4,5,6,4,6,South Carolina,7361.265484,338590.4409,Samsung Pay,12
626,Chipotle,6,6,7,6,6,5,5,4,5,6,5,6,6,4,6,Utah,8840.860282,371724.418,Google Pay,8
629,Firehouse Subs,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Vermont,3583.218522,91134.5453,Google Pay,5
629,McDonalds,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Virginia,188.5947397,297907.5607,Samsung Pay,12
639,Firehouse Subs,5,5,4,4,4,5,4,5,5,4,5,4,4,3,4,Wisconsin,7599.58406,996264.3969,Credit Card,8
639,Panera,5,4,4,5,4,5,4,5,4,5,4,4,4,5,4,Wyoming,3547.08041,116463.71,Debit Card,13
646,Firehouse Subs,3,3,5,4,3,5,6,5,4,6,5,6,4,2,6,Alabama,7741.974602,635214.916,Apple Pay,11
646,Jersey Mikes,5,5,1,3,2,6,4,3,3,3,6,5,3,4,2,Alaska,9100.330493,417509.3656,Credit Card,6
665,Jersey Mikes,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,California,313.4689255,273696.6087,Debit Card,11
665,Jimmy Johns,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Colorado,7765.804732,104409.5452,Samsung Pay,9
672,Subway,7,7,6,7,6,6,7,7,7,7,7,7,7,7,7,Connecticut,497.1770091,267393.9119,Samsung Pay,12
687,Jersey Mikes,6,6,7,7,7,7,7,6,6,6,6,7,7,6,7,Florida,8151.696313,596816.8257,Apple Pay,14
692,Jersey Mikes,7,7,7,7,6,7,7,7,7,7,7,6,7,6,7,Georgia,1715.66175,706462.1991,Samsung Pay,7
692,Panera,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,Hawaii,8101.082901,162317.9442,Samsung Pay,8
699,Chipotle,4,5,5,4,4,5,4,6,6,3,5,5,6,6,4,Idaho,7123.329284,917659.1337,Debit Card,14
699,Jersey Mikes,3,5,4,5,4,3,5,4,4,3,5,4,3,3,4,Illinois,5568.156681,844525.1001,Credit Card,15
702,Chipotle,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Indiana,2667.908565,814750.1527,Debit Card,14
702,Firehouse Subs,5,6,7,6,6,6,6,6,6,6,6,6,7,6,6,Iowa,9642.164303,242559.6253,Debit Card,15
708,Chipotle,6,6,6,6,6,5,5,6,6,5,6,6,5,6,6,Kansas,462.621742,577764.6679,Cash,12
